tunnelID,src,dst,bandwidth,priority,Affinity,delay,hop,explicitPath,antiFaultType,resourceReserveType,exclude_links,exclude_nodes,isNormalTunnel
0,0,1,0.001073,3,,10000,100,,,,,,1
1,0,2,0.000422,3,,10000,100,,,,,,1
2,0,3,6.91527,3,,10000,100,,,,,,1
3,0,4,0.0,3,,10000,100,,,,,,1
4,0,5,0.032542,3,,10000,100,,,,,,1
5,0,6,0.009051,3,,10000,100,,,,,,1
6,0,7,1.078939,3,,10000,100,,,,,,1
7,0,8,0.048335,3,,10000,100,,,,,,1
8,0,9,11.436371,3,,10000,100,,,,,,1
9,0,10,0.000788,3,,10000,100,,,,,,1
10,0,11,0.064987,3,,10000,100,,,,,,1
11,0,12,1.777964,3,,10000,100,,,,,,1
12,0,13,2.902334,3,,10000,100,,,,,,1
13,0,14,0.056877,3,,10000,100,,,,,,1
14,0,15,0.0,3,,10000,100,,,,,,1
15,0,16,211.089221,3,,10000,100,,,,,,1
16,0,17,0.0,3,,10000,100,,,,,,1
17,0,18,0.0,3,,10000,100,,,,,,1
18,0,19,0.141619,3,,10000,100,,,,,,1
19,0,20,0.000956,3,,10000,100,,,,,,1
20,0,21,21.536916,3,,10000,100,,,,,,1
21,0,22,0.363386,3,,10000,100,,,,,,1
22,0,23,0.008532,3,,10000,100,,,,,,1
23,0,24,1.132818,3,,10000,100,,,,,,1
24,0,25,0.484983,3,,10000,100,,,,,,1
25,0,26,0.0,3,,10000,100,,,,,,1
26,0,27,0.001106,3,,10000,100,,,,,,1
27,0,28,0.0,3,,10000,100,,,,,,1
28,0,29,13.451431,3,,10000,100,,,,,,1
29,0,30,0.0,3,,10000,100,,,,,,1
30,0,31,0.168297,3,,10000,100,,,,,,1
31,0,32,0.000941,3,,10000,100,,,,,,1
32,0,33,0.000369,3,,10000,100,,,,,,1
33,0,34,3.875135,3,,10000,100,,,,,,1
34,0,35,0.210846,3,,10000,100,,,,,,1
35,0,36,0.0,3,,10000,100,,,,,,1
36,0,37,0.028605,3,,10000,100,,,,,,1
37,0,38,0.052406,3,,10000,100,,,,,,1
38,0,39,0.015676,3,,10000,100,,,,,,1
39,0,40,0.0,3,,10000,100,,,,,,1
40,0,41,0.180689,3,,10000,100,,,,,,1
41,0,42,0.002159,3,,10000,100,,,,,,1
42,0,43,0.165484,3,,10000,100,,,,,,1
43,0,44,0.0,3,,10000,100,,,,,,1
44,0,45,89.568708,3,,10000,100,,,,,,1
45,0,46,0.0,3,,10000,100,,,,,,1
46,0,47,0.0,3,,10000,100,,,,,,1
47,0,48,0.0,3,,10000,100,,,,,,1
48,0,49,0.0,3,,10000,100,,,,,,1
49,1,0,0.065397,3,,10000,100,,,,,,1
50,1,2,0.000934,3,,10000,100,,,,,,1
51,1,3,0.360959,3,,10000,100,,,,,,1
52,1,4,0.0,3,,10000,100,,,,,,1
53,1,5,0.001794,3,,10000,100,,,,,,1
54,1,6,1.5e-05,3,,10000,100,,,,,,1
55,1,7,0.0,3,,10000,100,,,,,,1
56,1,8,0.0,3,,10000,100,,,,,,1
57,1,9,0.354816,3,,10000,100,,,,,,1
58,1,10,0.00943,3,,10000,100,,,,,,1
59,1,11,0.004956,3,,10000,100,,,,,,1
60,1,12,0.0,3,,10000,100,,,,,,1
61,1,13,0.330914,3,,10000,100,,,,,,1
62,1,14,0.004835,3,,10000,100,,,,,,1
63,1,15,0.0,3,,10000,100,,,,,,1
64,1,16,8.002525,3,,10000,100,,,,,,1
65,1,17,0.0,3,,10000,100,,,,,,1
66,1,18,0.0,3,,10000,100,,,,,,1
67,1,19,0.000793,3,,10000,100,,,,,,1
68,1,20,0.0,3,,10000,100,,,,,,1
69,1,21,0.024576,3,,10000,100,,,,,,1
70,1,22,0.064147,3,,10000,100,,,,,,1
71,1,23,4e-06,3,,10000,100,,,,,,1
72,1,24,0.087161,3,,10000,100,,,,,,1
73,1,25,0.043062,3,,10000,100,,,,,,1
74,1,26,0.0,3,,10000,100,,,,,,1
75,1,27,6e-06,3,,10000,100,,,,,,1
76,1,28,0.0,3,,10000,100,,,,,,1
77,1,29,0.153274,3,,10000,100,,,,,,1
78,1,30,0.0,3,,10000,100,,,,,,1
79,1,31,0.107134,3,,10000,100,,,,,,1
80,1,32,1.3e-05,3,,10000,100,,,,,,1
81,1,33,1e-06,3,,10000,100,,,,,,1
82,1,34,7.343953,3,,10000,100,,,,,,1
83,1,35,0.022507,3,,10000,100,,,,,,1
84,1,36,0.0,3,,10000,100,,,,,,1
85,1,37,0.026534,3,,10000,100,,,,,,1
86,1,38,0.009789,3,,10000,100,,,,,,1
87,1,39,0.036474,3,,10000,100,,,,,,1
88,1,40,0.001559,3,,10000,100,,,,,,1
89,1,41,0.031226,3,,10000,100,,,,,,1
90,1,42,5.3e-05,3,,10000,100,,,,,,1
91,1,43,0.005462,3,,10000,100,,,,,,1
92,1,44,0.007946,3,,10000,100,,,,,,1
93,1,45,0.010773,3,,10000,100,,,,,,1
94,1,46,0.0,3,,10000,100,,,,,,1
95,1,47,0.0,3,,10000,100,,,,,,1
96,1,48,0.0,3,,10000,100,,,,,,1
97,1,49,0.003897,3,,10000,100,,,,,,1
98,2,0,0.00128,3,,10000,100,,,,,,1
